,batter,bowler,non_striker,replacements,runs_by_bat,extra_runs,total,delivery,extra_type,wicket_type,player_out,fielder,over,extras
59,AM Rahane,Rashid Khan,S Dube,,1,0,1,2,-,0.0,,,10,
60,S Dube,Rashid Khan,AM Rahane,,2,0,2,3,-,0.0,,,10,
61,S Dube,Rashid Khan,AM Rahane,,1,0,1,4,-,0.0,,,10,
62,AM Rahane,Rashid Khan,S Dube,,4,0,4,5,-,0.0,,,10,
63,AM Rahane,Rashid Khan,S Dube,,4,0,4,6,-,0.0,,,10,
64,S Dube,MM Sharma,AM Rahane,,1,0,1,1,-,0.0,,,11,
65,AM Rahane,MM Sharma,S Dube,,1,0,1,2,-,0.0,,,11,
66,S Dube,MM Sharma,AM Rahane,,2,0,2,3,-,0.0,,,11,
67,S Dube,MM Sharma,AM Rahane,,1,0,1,4,-,0.0,,,11,
68,AM Rahane,MM Sharma,S Dube,,0,0,0,5,-,0.0,,,11,
69,AT Rayudu,MM Sharma,S Dube,,1,0,1,6,-,0.0,,,11,
70,AT Rayudu,Rashid Khan,S Dube,,1,0,1,1,-,0.0,,,12,
71,S Dube,Rashid Khan,AT Rayudu,,1,0,1,2,-,0.0,,,12,
72,AT Rayudu,Rashid Khan,S Dube,,0,0,0,3,-,0.0,,,12,
73,AT Rayudu,Rashid Khan,S Dube,,1,0,1,4,-,0.0,,,12,
74,S Dube,Rashid Khan,AT Rayudu,,6,0,6,5,-,0.0,,,12,
75,S Dube,Rashid Khan,AT Rayudu,,6,0,6,6,-,0.0,,,12,
76,AT Rayudu,MM Sharma,S Dube,,6,0,6,1,-,0.0,,,13,
77,AT Rayudu,MM Sharma,S Dube,,4,0,4,2,-,0.0,,,13,
78,AT Rayudu,MM Sharma,S Dube,,6,0,6,3,-,0.0,,,13,
79,AT Rayudu,MM Sharma,S Dube,,0,0,0,4,-,0.0,,,13,
80,MS Dhoni,MM Sharma,S Dube,,0,0,0,5,-,0.0,,,13,
81,RA Jadeja,MM Sharma,S Dube,,1,0,1,6,-,0.0,,,13,
82,RA Jadeja,Mohammed Shami,S Dube,,1,0,1,1,-,0.0,,,14,
83,S Dube,Mohammed Shami,RA Jadeja,,0,0,0,2,-,0.0,,,14,
84,S Dube,Mohammed Shami,RA Jadeja,,2,0,2,3,-,0.0,,,14,
85,S Dube,Mohammed Shami,RA Jadeja,,2,0,2,4,-,0.0,,,14,
86,S Dube,Mohammed Shami,RA Jadeja,,1,0,1,5,-,0.0,,,14,
87,RA Jadeja,Mohammed Shami,S Dube,,2,0,2,6,-,0.0,,,14,
88,S Dube,MM Sharma,RA Jadeja,,0,0,0,1,-,0.0,,,15,
89,S Dube,MM Sharma,RA Jadeja,,1,0,1,2,-,0.0,,,15,
90,RA Jadeja,MM Sharma,S Dube,,1,0,1,3,-,0.0,,,15,
91,S Dube,MM Sharma,RA Jadeja,,1,0,1,4,-,0.0,,,15,
92,RA Jadeja,MM Sharma,S Dube,,6,0,6,5,-,0.0,,,15,
93,RA Jadeja,MM Sharma,S Dube,,4,0,4,6,-,0.0,,,15,
